month,year,count,mean_brightness,mean_bright31,mean_frp,mean_max_temp,mean_min_temp,mean_rainfall,anomaly,average_temp
2,2007,711,329.31054852320676,304.1410689170183,34.98115330520394,29.51712804492754,21.46085632586207,118.92950564224138,8.056271719065467,25.488992185394807
3,2007,699,328.66309012875536,301.03361945636624,37.58469241773963,29.43624378181818,19.663542066815477,78.51912103452489,9.772701715002704,24.54989292431683
4,2007,364,329.925,300.2365384615385,33.323626373626375,31.235164316715544,19.54367620596591,34.18473048342857,11.691488110749635,25.389420261340724
5,2007,136,327.88529411764705,300.4985294117647,39.17573529411764,30.534156484848484,18.143189647727272,79.38373894484616,12.390966837121212,24.33867306628788
6,2007,251,328.4362549800797,298.4545816733068,34.24382470119522,27.790240912,17.534796108,25.107178205591836,10.255444804000003,22.662518509999998
7,2007,281,324.81352313167264,297.55516014234877,38.61352313167259,29.391405799270075,18.85003259489051,49.18822564452555,10.541373204379564,24.12071919708029
8,2007,382,331.0086387434555,300.367277486911,44.20706806282722,31.65698806332454,18.503375513192612,81.27321426121372,13.153612550131928,25.080181788258578
9,2007,736,332.51929347826086,304.1225543478261,43.20054347826087,32.19092924420191,18.61866810504775,84.09355599999999,13.572261139154161,25.40479867462483
10,2007,479,331.1810020876827,304.2060542797495,34.63736951983299,28.169726754201683,17.416802842138363,34.44469749475891,10.75292391206332,22.79326479817002
11,2007,369,326.2119241192412,299.6864498644986,34.954742547425475,31.754435828337876,20.437937205191258,67.3360837295082,11.316498623146618,26.09618651676457
12,2007,541,328.2543438077634,303.022550831793,37.28632162661738,31.147165025,19.53422439224806,124.95751706589147,11.61294063275194,25.340694708624028
1,2008,768,327.70338541666666,301.5162760416667,31.354166666666668,29.128628989985692,15.248885180238727,27.919189322811672,13.879743809746966,22.188757085112208
2,2008,938,329.20319829424307,302.5127931769723,46.97420042643923,25.435381866962306,15.56149073012959,127.55140402991361,9.873891136832716,20.498436298545947
3,2008,786,331.50877862595416,302.51284987277353,41.30089058524173,27.599109934693878,15.65011816449935,83.59485075136605,11.948991770194528,21.624614049596616
4,2008,113,325.08584070796456,299.87699115044245,24.70530973451327,30.025099154545455,18.20943662882883,46.6924557872477,11.815662525716625,24.117267891687142
5,2008,83,324.56626506024094,299.3,28.901204819277112,30.482438594594594,17.316966227027027,49.95125646756757,13.165472367567567,23.89970241081081
6,2008,112,323.25357142857143,293.9901785714286,46.479464285714286,22.694473743119268,12.287597051818183,100.06945272314815,10.406876691301084,17.491035397468725
7,2008,70,321.32142857142856,297.96714285714285,19.77714285714286,28.402127880597014,18.61437744852941,53.99811940147059,9.787750432067604,23.508252664563212
8,2008,231,334.4445887445887,299.8103896103896,55.86883116883117,26.14612026956522,14.996493924347826,172.3208753652174,11.149626345217394,20.571307096956524
9,2008,867,334.6612456747405,307.55167243367936,36.52433679354095,31.904117670520233,18.30049256539352,58.09695400127315,13.603625105126714,25.102305117956874
10,2008,275,329.1938181818182,302.0829090909091,32.13818181818182,31.679458274074076,20.788444630514704,23.646623836029413,10.891013643559372,26.23395145229439
11,2008,70,319.8285714285714,297.7785714285714,18.284285714285716,28.503715289855073,19.14770471212121,159.6253788939394,9.356010577733862,23.825710000988142
12,2008,120,322.57750000000004,299.67,19.91166666666667,26.72941253846154,17.818958864102566,120.13789292307692,8.910453674358973,22.27418570128205
1,2009,283,326.65159010600706,302.7833922261484,24.225795053003534,28.140728072796932,16.853527896498054,39.405491282879375,11.287200176298878,22.49712798464749
2,2009,594,328.38956228956226,301.666835016835,36.87912457912458,24.29455103141361,16.34712229303905,130.73563803056027,7.947428738374562,20.32083666222633
3,2009,1402,334.30912981455066,302.08223965763193,56.50427960057061,25.527431787788533,14.946246218155197,93.45428940189781,10.581185569633336,20.236839002971866
4,2009,146,329.5493150684931,301.8253424657534,33.232191780821914,29.214002304347826,17.94574768169014,73.19065133455882,11.268254622657686,23.579874993018983
5,2009,59,326.8271186440678,300.42033898305084,38.30169491525424,30.044561620689656,17.684634105084747,50.31585927407408,12.359927515604909,23.8645978628872
10,2009,102,326.7480392156863,298.8627450980392,33.21568627450981,27.733803715686275,17.016324936633662,36.10189936930693,10.717478779052612,22.37506432615997
11,2009,33,324.25757575757575,302.07272727272726,24.312121212121212,29.488311575757574,19.66475163030303,41.456984181818186,9.823559945454544,24.576531603030304
12,2009,70,322.31857142857143,299.8514285714285,27.852857142857143,28.654802314285714,19.86894608571429,140.81699337142857,8.785856228571426,24.2618742
